seed,family,job,arm,backend,mode,descriptor_index,chunk_ids,tokens,ready_skew_us,issue_skew_us,gpu_start_skew_us,ready_to_issue_us,issue_to_gpu_start_us,ready_to_gpu_start_us,gpu_comm_envelope_us,gpu_kernel_duration_us,router_overlap_us,router_overlap,rank_issues_before_final_router
13042,balanced,2,NCCL-D,nccl,D,3,3,512,591.352,117.218,304.554,172129.203,156.732,172285.935,307.528,65.314,0.0,False,0
13042,balanced,2,NCCL-D,nccl,D,4,4,512,626.827,114.686,306.248,185826.3285,155.894,185982.2225,309.224,65.156,0.0,False,0
13042,balanced,2,NCCL-D,nccl,D,5,5,512,625.102,166.666,313.678,201480.065,135.416,201615.481,316.684,66.002,0.0,False,0
13042,balanced,2,NCCL-D,nccl,D,6,6+7,1024,664.072,25.566,26.63,214148.09999999998,591.297,214739.397,29.636,3.0519999999999996,0.0,False,0
13042,balanced,2,NCCL-P,nccl,P,0,0,512,261.038,198.796,201.924,17369.857,225.11,17594.967,205.028,3.152,0.0,False,0
13042,balanced,2,NCCL-P,nccl,P,1,1,512,226.678,49.954,44.574,44958.289000000004,230.172,45188.460999999996,47.648,3.09,0.0,False,0
13042,balanced,2,NCCL-P,nccl,P,2,2,512,205.736,325.53,324.93,74747.783,232.627,74980.41,327.936,3.0549999999999997,0.0,False,0
13042,balanced,2,NCCL-P,nccl,P,3,3,512,197.513,540.661,542.268,104680.825,233.7815,104914.6065,545.282,3.045,0.0,False,0
13042,balanced,2,NCCL-P,nccl,P,4,4,512,190.432,400.934,401.764,134808.802,234.67700000000002,135043.479,404.8,3.059,0.0,False,0
13042,balanced,2,NCCL-P,nccl,P,5,5,512,185.924,139.674,137.42,165089.862,235.358,165325.22,140.488,3.037,0.0,False,0
13042,balanced,2,NCCL-P,nccl,P,6,6+7,1024,217.576,189.547,187.194,209989.4185,565.7685,210555.187,190.306,3.044,0.0,False,0
13042,balanced,2,MSCCLPP-D,mscclpp,D,0,0,512,1444.19,1574.324,1433.737,130019.014,1626.0265,131645.0405,2541.221,1006.3515,0.0,False,0
13042,balanced,2,MSCCLPP-D,mscclpp,D,1,1,512,1275.634,1500.804,1441.44,129582.095,1571.422,131153.517,3411.612,1265.1565,0.0,False,0
13042,balanced,2,MSCCLPP-D,mscclpp,D,2,2,512,1178.397,1510.749,2329.253,131406.521,1793.9990000000003,133200.52000000002,3173.034,737.2815,0.0,False,0
13042,balanced,2,MSCCLPP-D,mscclpp,D,3,3,512,1044.713,2396.264,2453.158,133434.46649999998,1400.7649999999999,134835.2315,3254.94,1247.2265,0.0,False,0
